,timestamp,solving_id,question_id,user_answer,elapsed_time,user_id
0,1565096190868,1,q5012,b,38000,1
1,1565096221062,2,q4706,c,24000,1
2,1565096293432,3,q4366,b,68000,1
3,1565096339668,4,q4829,a,42000,1
4,1565096401774,5,q6528,b,59000,1
5,1565096463370,6,q4793,a,58000,1
6,1565096501746,7,q6488,a,35000,1
7,1565097101361,8,q356,b,23000,1
8,1565097171393,9,q1382,c,22000,1
9,1565097240758,10,q830,b,25000,1
10,1565097297745,11,q11259,b,23000,1
11,1565097346903,12,q1092,a,20000,1
12,1565097396305,13,q524,a,22000,1
13,1565097447155,14,q485,c,21000,1
14,1565097496402,15,q11261,b,23000,1
15,1565097544796,16,q1329,b,20000,1
16,1565097588350,17,q1204,c,18000,1
17,1565126570152,18,q4891,b,28000,1
18,1565126633493,19,q5477,a,35000,1
19,1565126711968,20,q5049,b,47000,1
20,1565126787167,21,q17211,c,35000,1
21,1565130481697,22,q4760,c,41000,1
22,1565130592803,23,q5957,c,29000,1
23,1565130648696,24,q4041,d,35000,1
24,1565130697527,25,q8633,d,26000,1
25,1565130747697,26,q4480,c,28000,1
26,1565130789667,27,q4034,d,10000,1
27,1565184364524,28,q325,c,22000,1
28,1565184428456,29,q295,c,18000,1
29,1565184506667,30,q351,b,19000,1
30,1565184591613,31,q1298,a,20000,1
31,1565184656806,32,q1234,a,17000,1
32,1565184729584,33,q11263,b,20000,1
33,1565184809852,34,q391,b,21000,1
34,1565184886566,35,q1010,a,17000,1
35,1565184954179,36,q563,a,20000,1
36,1565185031706,37,q11262,a,18000,1
37,1565185188342,38,q3911,a,81000,1
38,1565185274171,39,q9786,a,22000,1
39,1565185332658,40,q4526,d,32000,1
40,1565185429040,41,q5231,a,49000,1
41,1565185478587,42,q4685,b,23000,1
42,1565185521429,43,q17249,c,19000,1
43,1565185605196,44,q5388,c,58000,1
44,1565185696744,45,q4324,a,57000,1
45,1565185756998,46,q4631,b,28000,1
46,1565185804571,47,q17122,b,38000,1
47,1565310208783,48,q6047,d,173000,1
48,1565310248409,49,q5379,c,13000,1
49,1565310320427,50,q5071,a,43000,1
50,1565310391354,51,q8940,a,22000,1
51,1565310440463,52,q5281,b,21000,1
52,1565310483202,53,q5330,a,18000,1
53,1565310528406,54,q4559,b,27000,1
54,1565310624544,55,q9724,a,49000,1
55,1565310728635,56,q6737,d,26000,1
56,1565310797025,57,q3791,d,50000,1
57,1565360618399,58,q150,c,44000,1
58,1565360692685,59,q8093,c,24000,1
59,1565360743731,60,q8061,b,23000,1
60,1565360793558,61,q11016,b,24000,1
61,1565360854043,62,q143,c,24000,1
62,1565360948359,63,q560,c,21000,1
63,1565361014170,64,q577,b,19000,1
64,1565361065508,65,q698,a,22000,1
65,1565361162865,66,q11249,b,23000,1
66,1565361219042,67,q1182,a,22000,1
67,1565395558060,68,q6838,b,53500,1
68,1565395558109,68,q6839,a,53500,1
69,1565395558175,68,q6837,a,53500,1
70,1565395558206,68,q6840,c,53500,1
71,1565395887882,69,q10635,a,59500,1
72,1565395888192,69,q10636,a,59500,1
73,1565395888425,69,q10634,b,59500,1
74,1565395888432,69,q10637,b,59500,1
75,1565558594636,70,q5499,a,9000,1
76,1565558654678,71,q6501,d,44000,1
77,1565558773386,72,q8687,a,38000,1
78,1565558821289,73,q8796,c,22000,1
79,1565558856183,74,q5978,b,19000,1
80,1565558926117,75,q5221,d,61000,1
81,1565559039795,76,q6186,d,51000,1
82,1565559114010,77,q9124,d,26000,1
83,1565559189099,78,q6055,b,55000,1
84,1565559231398,79,q4478,a,13000,1
85,1566025932980,80,q4276,c,8000,1
86,1566026001759,81,q17158,a,61000,1
87,1566026076643,82,q6522,b,52000,1
88,1566026152269,83,q5390,c,54000,1
89,1566026204991,84,q4304,a,30000,1
90,1566026273393,84,q4304,c,9000,1
91,1566026294413,85,q6501,c,13000,1
92,1566027677731,86,q6921,d,49750,1
93,1566027677734,86,q6924,a,49750,1
94,1566027677747,86,q6922,b,49750,1
95,1566027677787,86,q6923,b,49750,1
96,1566219014693,87,q5724,b,35000,1
97,1566219099863,88,q8557,d,58000,1
98,1566219161537,89,q3939,c,32000,1
99,1566219216118,90,q8482,a,33000,1
100,1566219292019,91,q6194,b,52000,1
101,1566219558556,92,q9034,b,14000,1
102,1566219614796,93,q4297,c,47000,1
103,1566219690567,94,q5432,c,37000,1
104,1566219731830,95,q3928,b,10000,1
105,1566219796264,96,q10067,d,29000,1
106,1566251064486,97,q6733,d,33000,1
107,1566251131356,98,q3774,a,19000,1
108,1566251198891,99,q4127,b,50000,1
109,1566251265049,100,q8641,c,24000,1
110,1566251306455,101,q4565,b,15000,1
111,1566251359877,102,q6454,c,26000,1
112,1566251402989,103,q8657,c,26000,1
113,1566251485050,104,q10128,d,44000,1
114,1566251576846,105,q4563,b,55000,1
115,1566251710221,106,q5458,a,69000,1
116,1566335987833,107,q6179,a,27000,1
117,1566336090611,108,q9148,a,81000,1
118,1566336189695,109,q5283,c,34000,1
119,1566336258906,110,q6551,c,43000,1
120,1566336313772,111,q3945,b,30000,1
121,1566336375193,112,q8578,b,28000,1
122,1566336423726,113,q5050,d,32000,1
123,1566336479649,114,q5507,d,24000,1
124,1566336566671,115,q3995,a,25000,1
125,1566336652108,116,q10149,a,52000,1
126,1566393718814,117,q5741,d,24000,1
127,1566393782010,118,q4318,a,47000,1
128,1566393880470,119,q8455,d,32000,1
129,1566393941432,120,q9820,a,40000,1
130,1566394006370,121,q6087,a,41000,1
131,1566394079441,122,q5553,b,50000,1
132,1566394183012,123,q4495,a,79000,1
133,1566394265343,124,q8818,d,39000,1
134,1566403603555,125,q6390,b,99000,1
135,1566403680150,126,q6113,c,36000,1
136,1566477971834,127,q668,b,21000,1
137,1566478120960,128,q947,b,27000,1
138,1566478221669,129,q676,c,21000,1
139,1566478358854,130,q834,a,26000,1
140,1566478478508,131,q703,a,23000,1
141,1566478590862,132,q967,b,21000,1
142,1566478699889,133,q1346,c,22000,1
143,1566478826750,134,q467,a,22000,1
144,1566478931185,135,q850,a,21000,1
145,1566479042611,136,q316,b,19000,1
146,1566479222897,137,q5786,d,64000,1
147,1566479334945,138,q9477,b,56000,1
148,1566479465517,139,q4031,b,76000,1
149,1566479596937,140,q5774,a,88000,1
150,1566479655945,141,q5060,c,33000,1
151,1566479711815,142,q17284,d,28000,1
152,1566479777267,143,q6378,d,48000,1
153,1566479854280,144,q4528,c,52000,1
154,1566479956374,145,q5682,c,67000,1
155,1566480029356,146,q5899,c,32000,1
156,1566655050670,147,q555,a,22000,1
157,1566655166546,148,q749,b,20000,1
158,1566655263279,149,q237,c,26000,1
159,1566655376873,150,q380,b,23000,1
160,1566655508317,151,q1310,c,21000,1
161,1566655616931,152,q945,a,20000,1
162,1566655752431,153,q754,c,21000,1
163,1566655865760,154,q667,b,40000,1
164,1566656000171,155,q1062,c,26000,1
165,1566656064945,156,q600,b,21000,1
166,1566739452169,157,q523,c,18000,1
167,1566739512607,158,q469,c,19000,1
168,1566739611724,159,q1049,b,19000,1
169,1566739714652,160,q1340,a,21000,1
170,1566739827528,161,q243,a,24000,1
171,1566739962124,162,q729,c,23000,1
172,1566740085365,163,q1395,a,25000,1
173,1566740212048,164,q1383,b,20000,1
174,1566740321497,165,q802,b,17000,1
175,1566740398275,166,q870,b,22000,1
176,1566769042752,167,q5838,d,35000,1
177,1566769074781,168,q4202,b,20000,1
178,1566769142687,169,q5392,a,31000,1
179,1566769185012,170,q9455,d,24000,1
180,1566769245048,171,q5763,b,34000,1
181,1566769341632,172,q8692,a,57000,1
182,1566769426382,173,q6497,d,57000,1
183,1566769530012,174,q8758,b,59000,1
184,1566769666473,175,q6401,a,28000,1
185,1566769705559,176,q5243,a,13000,1
186,1566807303525,177,q5039,b,23000,1
187,1566807368945,178,q9777,b,16000,1
188,1566807441912,179,q4001,a,48000,1
189,1566807574043,180,q6075,a,58000,1
190,1566807624178,181,q4402,a,19000,1
191,1566807815821,182,q8373,c,162000,1
192,1566807938850,183,q5311,d,55000,1
193,1566808075134,184,q4474,b,92000,1
194,1566808173252,185,q6431,b,45000,1
195,1566808273846,186,q3843,c,41000,1
196,1566825408375,187,q552,b,12000,1
197,1566825551851,188,q858,b,20000,1
198,1566826374906,189,q477,b,20000,1
199,1566826477072,190,q764,b,19000,1
200,1566826562545,191,q1149,a,20000,1
201,1566856041583,192,q6543,a,56000,1
202,1566856272978,193,q5075,d,59000,1
203,1566856367080,194,q5452,b,26000,1
204,1566856458417,195,q8955,b,34000,1
205,1566856561170,196,q5652,c,75000,1
206,1566911243285,197,q4539,a,48000,1
207,1566911325785,198,q3728,a,43000,1
208,1566911394801,199,q17291,b,37000,1
209,1566911459552,200,q5315,a,51000,1
210,1566911522268,201,q4925,c,26000,1
211,1566997726360,202,q1319,b,19000,1
212,1566997845253,203,q897,b,19000,1
213,1566997953116,204,q1186,b,17000,1
214,1566998064650,205,q1157,a,17000,1
215,1566998197481,206,q591,c,24000,1
216,1567087122182,207,q3788,d,21000,1
217,1567087222806,208,q17262,d,64000,1
218,1567114403823,209,q5361,c,20000,1
219,1567115014757,210,q5294,d,16000,1
220,1567115048137,211,q3691,a,23000,1
221,1567115171816,212,q17151,b,90000,1
222,1567115278481,213,q4790,b,34000,1
223,1567115395963,214,q6059,c,87000,1
224,1567115478770,215,q6156,b,38000,1
225,1567115622838,216,q17213,b,84000,1
226,1567139631713,217,q104,b,63000,1
227,1567139873125,218,q1724,c,39000,1
228,1567139873135,218,q1722,a,39000,1
229,1567139873167,218,q1723,a,39000,1
230,1567140388553,219,q10649,a,57500,1
231,1567140388553,219,q10648,b,57500,1
232,1567140388557,219,q10647,d,57500,1
233,1567140388587,219,q10646,c,57500,1
234,1567140411742,219,q10647,d,4750,1
235,1567140411879,219,q10646,c,4750,1
236,1567140411880,219,q10648,b,4750,1
237,1567140411906,219,q10649,a,4750,1
238,1567141435225,220,q10029,b,19000,1
239,1567149292849,221,q10020,b,30000,1
240,1567149499948,222,q1738,a,48333,1
241,1567149499972,222,q1737,b,48333,1
242,1567149500048,222,q1739,a,48333,1
243,1567150239423,223,q1456,a,44333,1
244,1567150239562,223,q1455,c,44333,1
245,1567150239563,223,q1457,b,44333,1
246,1567150490173,224,q10026,b,32000,1
247,1567150545584,225,q10033,a,32000,1
248,1567150695892,226,q1729,b,34333,1
249,1567150696019,226,q1730,b,34333,1
250,1567150696024,226,q1728,b,34333,1
251,1567150905066,227,q1002,b,51000,1
252,1567151045308,228,q1361,c,57000,1
253,1567151149311,229,q1247,a,47000,1
254,1567151339421,230,q1515,d,41666,1
255,1567151339595,230,q1516,d,41666,1
256,1567151339609,230,q1517,d,41666,1
257,1567156993340,231,q10045,a,300000,1
258,1567157241136,232,q1779,a,36666,1
259,1567157241284,232,q1781,b,36666,1
260,1567157241293,232,q1780,c,36666,1
261,1567288980575,233,q11835,c,42250,1
262,1567288980623,233,q11837,d,42250,1
263,1567288980646,233,q11838,b,42250,1
264,1567288980708,233,q11836,a,42250,1
265,1567345274793,234,q1885,a,49666,1
266,1567345274834,234,q1886,a,49666,1
267,1567345274894,234,q1884,c,49666,1
268,1567345579999,235,q2357,a,38000,1
269,1567345580018,235,q2355,b,38000,1
270,1567345580034,235,q2356,c,38000,1
271,1567345892524,236,q2526,a,36666,1
272,1567345892547,236,q2528,c,36666,1
273,1567345892552,236,q2527,b,36666,1
274,1567346152874,237,q1927,b,35666,1
275,1567346152886,237,q1928,b,35666,1
276,1567346152899,237,q1926,d,35666,1
277,1567346432948,238,q2542,d,30000,1
278,1567346432962,238,q2541,a,30000,1
279,1567346432984,238,q2543,a,30000,1
280,1567430280575,239,q3114,a,51666,1
281,1567430280627,239,q3115,a,51666,1
282,1567430280636,239,q3116,a,51666,1
283,1567430592285,240,q3190,b,43000,1
284,1567430592311,240,q3191,a,43000,1
285,1567430592321,240,q3189,b,43000,1
286,1567430825963,241,q3121,d,34666,1
287,1567430825969,241,q3120,b,34666,1
288,1567430826004,241,q3122,d,34666,1
289,1567431198153,242,q2617,a,39666,1
290,1567431198248,242,q2618,c,39666,1
291,1567431199156,242,q2616,c,39666,1
292,1567460839046,243,q3004,a,32666,1
293,1567460839052,243,q3005,a,32666,1
294,1567460839103,243,q3003,a,32666,1
295,1567461068206,244,q2829,d,37000,1
296,1567461068221,244,q2831,a,37000,1
297,1567461068313,244,q2830,b,37000,1
298,1567461317304,245,q3514,a,41333,1
299,1567461317322,245,q3515,d,41333,1
300,1567461317331,245,q3513,c,41333,1
301,1567461550116,246,q3335,a,36666,1
302,1567461550143,246,q3334,a,36666,1
303,1567461550276,246,q3333,c,36666,1
304,1567465924688,247,q2898,b,249666,1
305,1567465924689,247,q2899,a,249666,1
306,1567465924852,247,q2900,a,249666,1
307,1567515666928,248,q1704,a,36666,1
308,1567515666940,248,q1705,b,36666,1
309,1567515666976,248,q1706,d,36666,1
310,1567515961770,249,q2263,b,41333,1
311,1567515961811,249,q2262,b,41333,1
312,1567515961867,249,q2264,a,41333,1
313,1567516182748,250,q2233,d,35000,1
314,1567516182799,250,q2234,c,35000,1
315,1567516182811,250,q2232,a,35000,1
316,1567516432083,251,q1980,c,39333,1
317,1567516432109,251,q1981,c,39333,1
318,1567516432135,251,q1982,b,39333,1
319,1567516770332,252,q1760,a,41000,1
320,1567516770359,252,q1759,d,41000,1
321,1567516770395,252,q1758,b,41000,1
322,1567517013783,253,q485,b,21000,1
323,1567517134968,254,q150,c,26000,1
324,1567517190405,255,q698,b,25000,1
325,1567517260871,256,q668,c,19000,1
326,1567517341508,257,q850,b,21000,1
327,1567517420484,258,q555,b,28000,1
328,1567517485871,259,q749,a,23000,1
329,1567517546928,260,q1310,c,19000,1
330,1567517624777,261,q754,a,20000,1
331,1567517687926,262,q667,c,18000,1
332,1567517957517,263,q600,c,19000,1
333,1567518023374,264,q243,c,18000,1
334,1567518094585,265,q729,c,22000,1
335,1567518166673,266,q1149,b,16000,1
336,1567518205185,267,q1319,c,16000,1
337,1567720315662,268,q7016,a,118400,1
338,1567720315683,268,q7013,d,118400,1
339,1567720315716,268,q7015,c,118400,1
340,1567720315721,268,q7017,c,118400,1
341,1567720315721,268,q7014,b,118400,1
342,1567720895371,269,q7612,a,107600,1
343,1567720895392,269,q7608,c,107600,1
344,1567720895424,269,q7610,a,107600,1
345,1567720895434,269,q7611,b,107600,1
346,1567720898518,269,q7609,d,107600,1
347,1567893088447,270,q7461,a,71800,1
348,1567893088459,270,q7460,b,71800,1
349,1567893088490,270,q7463,b,71800,1
350,1567893088497,270,q7464,d,71800,1
351,1567893088723,270,q7462,d,71800,1
352,1567893817847,271,q7887,d,106600,1
353,1567893817866,271,q7888,b,106600,1
354,1567893817894,271,q7890,a,106600,1
355,1567893817930,271,q7889,d,106600,1
356,1567893817957,271,q7886,c,106600,1
357,1567894592695,272,q7523,b,127200,1
358,1567894592709,272,q7524,a,127200,1
