skill,correct
109,0
121,0
94,0
119,0
83,1
84,1
24,0
43,0
183,0
181,0
20,0
21,0
185,0
6,0
7,0
181,0
18,0
7,0
183,0
6,0
7,0
181,0
20,0
21,0
181,0
1,0
2,0
183,0
20,1
21,1
179,1
184,1
11,0
7,0
183,0
8,0
2,0
185,0
19,0
2,0
182,0
14,0
2,0
179,0
183,0
4,0
2,0
183,0
30,1
38,1
39,1
184,1
183,1
36,0
37,0
182,0
183,0
30,0
34,0
35,0
183,0
185,0
30,0
44,0
49,0
183,0
182,0
183,1
185,1
23,1
24,1
25,1
28,0
29,0
182,0
183,0
27,1
24,1
41,1
183,1
181,1
30,1
44,1
49,1
184,1
181,1
46,0
47,0
184,0
183,0
185,1
181,1
31,1
32,1
